student_ID,course_ID,semester_ID
1,11,0
1,9,0
1,4,0
1,5,0
1,6,0
1,13,0
2,10,0
2,2,0
2,4,0
2,7,0
2,3,0
2,1,0
2,9,0
2,15,0
2,6,0
2,14,0
2,17,0
3,13,0
3,14,0
3,9,0
3,3,0
3,6,0
3,10,0
3,5,0
3,4,0
3,11,0
3,1,0
3,8,0
3,17,0
3,2,0
4,12,0
4,5,0
5,5,0
5,11,0
5,12,0
5,16,0
5,15,0
5,8,0
5,7,0
6,12,0
6,15,0
6,1,0
6,9,0
6,3,0
6,6,0
6,13,0
6,17,0
7,7,0
7,5,0
7,14,0
7,18,0
7,12,0
7,16,0
7,3,0
7,4,0
7,17,0
7,15,0
7,11,0
7,13,0
7,9,0
7,2,0
7,10,0
8,12,0
9,12,0
9,5,0
10,14,0
10,15,0
10,9,0
10,17,0
10,4,0
11,16,0
11,8,0
11,18,0
11,1,0
11,11,0
11,5,0
11,17,0
11,14,0
11,6,0
11,4,0
11,2,0
11,3,0
11,12,0
12,12,0
12,13,0
12,17,0
12,6,0
12,10,0
12,7,0
12,15,0
12,18,0
12,3,0
12,14,0
12,5,0
12,11,0
13,3,0
13,4,0
13,6,0
13,15,0
13,16,0
13,2,0
13,14,0
14,10,0
14,5,0
14,14,0
14,18,0
14,3,0
14,12,0
14,17,0
14,13,0
14,11,0
14,8,0
14,9,0
15,10,0
15,13,0
15,8,0
15,17,0
15,3,0
15,14,0
15,12,0
15,2,0
15,15,0
15,5,0
15,7,0
15,6,0
15,9,0
15,18,0
15,16,0
15,11,0
15,4,0
16,1,0
16,2,0
16,9,0
16,4,0
16,18,0
16,11,0
16,7,0
17,17,0
17,1,0
17,3,0
17,13,0
17,4,0
18,3,0
18,15,0
18,8,0
18,9,0
18,16,0
18,18,0
18,13,0
19,8,0
19,14,0
19,11,0
19,15,0
19,12,0
19,16,0
19,6,0
19,10,0
19,13,0
19,18,0
19,7,0
19,2,0
20,4,0
20,9,0
20,15,0
20,6,0
20,11,0
20,3,0
20,18,0
20,5,0
20,12,0
20,14,0
20,1,0
20,8,0
20,2,0
20,13,0
20,17,0
20,10,0
20,7,0
21,10,0
21,6,0
21,5,0
21,7,0
21,2,0
21,8,0
21,11,0
21,1,0
21,14,0
21,3,0
21,18,0
21,9,0
21,17,0
21,15,0
21,16,0
21,12,0
21,13,0
21,4,0
22,2,0
22,4,0
22,6,0
22,15,0
22,13,0
22,8,0
22,7,0
22,11,0
22,5,0
22,14,0
22,3,0
22,17,0
22,12,0
22,10,0
22,1,0
22,18,0
22,16,0
22,9,0
23,15,0
23,10,0
23,16,0
23,6,0
23,18,0
23,13,0
24,11,0
24,15,0
24,12,0
24,2,0
24,5,0
24,17,0
24,18,0
24,6,0
24,3,0
24,4,0
24,10,0
25,14,0
25,18,0
25,15,0
25,1,0
25,8,0
25,17,0
25,11,0
25,10,0
25,9,0
25,7,0
25,16,0
25,5,0
25,2,0
26,10,0
26,11,0
26,7,0
26,4,0
26,12,0
26,2,0
26,5,0
26,14,0
26,17,0
26,18,0
26,15,0
26,3,0
27,2,0
27,5,0
27,7,0
28,4,0
29,2,0
29,16,0
29,12,0
29,4,0
29,18,0
29,9,0
29,8,0
30,16,0
30,17,0
30,5,0
30,8,0
30,9,0
30,1,0
30,10,0
30,7,0
30,13,0
30,15,0
30,4,0
30,11,0
31,3,0
31,15,0
31,7,0
31,17,0
31,9,0
31,1,0
31,12,0
31,6,0
31,14,0
32,6,0
32,12,0
32,11,0
33,3,0
33,6,0
33,9,0
33,4,0
33,13,0
33,1,0
33,17,0
33,14,0
33,18,0
33,11,0
33,10,0
33,5,0
33,12,0
33,2,0
34,12,0
35,15,0
35,18,0
35,11,0
35,7,0
35,1,0
35,16,0
35,6,0
35,13,0
36,6,0
36,13,0
37,11,0
37,17,0
37,15,0
37,2,0
37,16,0
37,10,0
38,14,0
38,17,0
38,12,0
38,3,0
38,9,0
38,4,0
38,13,0
38,2,0
38,7,0
38,8,0
38,10,0
39,4,0
39,14,0
39,9,0
39,6,0
39,16,0
39,7,0
39,5,0
39,11,0
39,3,0
39,15,0
39,18,0
39,17,0
39,13,0
40,13,0
40,11,0
40,18,0
40,3,0
40,2,0
40,10,0
40,8,0
40,6,0
40,16,0
41,10,0
41,6,0
41,14,0
41,13,0
41,11,0
41,1,0
41,5,0
41,12,0
41,8,0
41,15,0
41,3,0
41,16,0
42,8,0
42,1,0
42,10,0
42,17,0
42,11,0
42,3,0
42,9,0
42,7,0
42,2,0
42,6,0
42,4,0
42,13,0
43,4,0
43,3,0
43,5,0
43,11,0
43,2,0
44,16,0
44,1,0
44,3,0
44,17,0
44,14,0
44,11,0
44,2,0
44,8,0
44,9,0
44,10,0
44,5,0
44,6,0
44,15,0
44,12,0
44,4,0
44,7,0
45,4,0
45,1,0
45,13,0
45,5,0
45,7,0
45,6,0
45,15,0
45,17,0
45,8,0
45,10,0
45,9,0
45,11,0
45,18,0
45,2,0
45,12,0
45,16,0
45,3,0
45,14,0
46,9,0
46,17,0
46,18,0
46,3,0
46,11,0
46,13,0
46,10,0
46,5,0
46,15,0
47,14,0
47,8,0
47,5,0
47,15,0
48,9,0
48,7,0
48,17,0
48,14,0
48,6,0
48,10,0
48,13,0
48,4,0
48,5,0
48,11,0
49,2,0
49,9,0
49,6,0
49,18,0
49,12,0
49,13,0
50,7,0
50,2,0
50,10,0
50,8,0
50,17,0
50,4,0
50,16,0
50,11,0
50,18,0
50,12,0
50,15,0
50,3,0
50,14,0
50,6,0
50,9,0
50,13,0
50,1,0
50,5,0
